Player,Pos,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
"Martin, Curtis",RB,1,5,11,102,168,2,2,36,2,0,3518,14101,90,70,484,3329,10,41
Willie Roaf\RoafWi00,T,4,11,12,109,189,,,,,,,,,,,,,
Richard Dent\DentRi00,DE,1,4,10,98,203,,,,,,,,,,,,,
"Faulk, Marshall",RB,3,7,11,133,176,0,2,0,0,0,2836,12279,100,71,767,6875,36,85
Chris Hanburger\HanbCh00,LB,4,9,12,100,187,,,,,,,,,,1,1,0,1
Les Richter\RichLe00,LB,1,8,8,22,112,,,,,,0,8,0,8,,,,
Deion Sanders\SandDe00,DB,6,8,12,126,188,0,2,0,0,0,9,-14,0,8,60,784,3,70
Shannon Sharpe\SharSh00,TE,4,8,12,81,204,,,,,,3,9,0,15,815,10060,62,82
Russ Grimm\GrimRu00,G,3,4,9,78,140,,,,,,,,,,,,,
Rickey Jackson\JackRi01,LB,0,6,15,112,227,,,,,,,,,,,,,
Dick LeBeau\LeBeDi00,DB,0,3,14,80,185,,,,,,,,,,,,,
"Little, Floyd",RB,1,5,9,70,117,2,9,43,1,0,1641,6323,43,80,215,2418,9,74
John Randle\RandJo00,DT,6,7,12,107,219,,,,,,,,,,,,,
"Rice, Jerry",WR,10,13,18,160,303,3,10,71,1,1,87,645,10,43,1549,22895,197,96
"Smith, Emmitt",RB,4,8,14,128,226,1,1,21,1,0,4409,18355,164,75,515,3224,11,86
Bob Hayes\HayeBo00,SE,2,3,8,83,132,,,,,,24,68,2,13,371,7414,71,95
Randall McDaniel\McDaRa00,G,7,12,14,129,222,,,,,,2,1,0,1,1,2,1,2
Bruce Smith\SmitBr00,DE,8,11,18,152,279,,,,,,1,0,0,0,,,,
Derrick Thomas\ThomDe01,LB,2,9,11,108,169,,,,,,,,,,,,,
Rod Woodson\WoodRo01,DB,6,11,15,142,238,,,,,,1,0,0,0,0,0,0,0
Fred Dean\DeanFr00,DE,2,4,6,58,141,,,,,,,,,,,,,
Darrell Green\GreeDa00,DB,1,7,15,103,295,,,,,,1,6,0,6,,,,
"Monk, Art",WR,1,3,14,90,224,1,2,46,0,0,63,332,0,26,940,12721,68,79
Emmitt Thomas\ThomEm00,DB,1,5,11,80,181,,,,,,,,,,,,,
Andre Tippett\TippAn00,LB,2,5,10,90,151,,,,,,,,,,,,,
Gary Zimmerman\ZimmGa00,T,3,7,12,103,184,,,,,,,,,,,,,
Gene Hickerson\HickGe00,G,3,6,13,88,202,,,,,,,,,,,,,
"Irvin, Michael",WR,1,5,10,104,159,,,,,,6,6,0,9,750,11904,65,87
Bruce Matthews\MattBr00,G,7,14,19,139,296,,,,,,,,,,0,0,0,0
Charlie Sanders\SandCh01,TE,3,7,9,52,128,,,,,,4,-6,0,2,336,4817,31,54
"Thomas, Thurman",RB,2,5,10,110,182,0,1,0,0,0,2877,12074,65,80,472,4458,23,74
Roger Wehrli\WehrRo00,DB,3,7,13,91,193,0,1,0,0,0,5,45,1,19,,,,
"Aikman, Troy",QB,0,6,12,95,165,2898,4715,32942,165,141,327,1016,9,25,2,-19,0,0
Harry Carson\CarsHa00,LB,0,9,13,95,173,,,,,,,,,,1,13,1,13
"Moon, Warren",QB,0,9,15,116,208,3988,6823,49325,291,233,543,1736,22,35,,,,
Reggie White\WhitRe00,DE,8,13,15,160,232,,,,,,,,,,,,,
Rayfield Wright\WrigRa01,T,3,6,8,83,166,,,,,,1,-10,0,0,2,27,1,15
Benny Friedman\FrieBe20,TB,4,0,7,0,81,70,167,929,66,19,152,458,18,0,5,67,0,0
"Marino, Dan",QB,3,9,16,145,242,4967,8358,61361,420,252,301,87,9,15,1,-6,0,0
Fritz Pollard\PollFr21,TB,1,0,6,0,49,,,,,,0,0,11,0,0,0,1,0
"Young, Steve",QB,3,7,9,132,169,2667,4149,33124,232,107,722,4239,43,49,2,2,0,6
Bob Brown\BrowBo03,T,5,6,10,83,126,,,,,,,,,,,,,
Carl Eller\ElleCa00,DE,5,6,15,132,225,,,,,,,,,,,,,
"Elway, John",QB,0,9,16,140,234,4123,7250,51475,300,226,774,3407,33,31,3,61,1,24
"Sanders, Barry",RB,6,10,10,120,153,1,4,11,0,1,3062,15269,99,85,352,2921,10,66
